market_open,market_close,market_date,market_date_ts,market_open_ts,market_close_ts,day,month,year,day_of_week_str,day_of_week,half_day,is_earnings_season,is_last_trading_of_month,is_options_expiration
09:30:00,16:00:00,2020-03-06,1583470800.0,1583505000.0,1583528400.0,6,3,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-03-09,1583726400.0,1583760600.0,1583784000.0,9,3,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-03-10,1583812800.0,1583847000.0,1583870400.0,10,3,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-03-11,1583899200.0,1583933400.0,1583956800.0,11,3,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-03-12,1583985600.0,1584019800.0,1584043200.0,12,3,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-03-13,1584072000.0,1584106200.0,1584129600.0,13,3,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-03-16,1584331200.0,1584365400.0,1584388800.0,16,3,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-03-17,1584417600.0,1584451800.0,1584475200.0,17,3,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-03-18,1584504000.0,1584538200.0,1584561600.0,18,3,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-03-19,1584590400.0,1584624600.0,1584648000.0,19,3,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-03-20,1584676800.0,1584711000.0,1584734400.0,20,3,2020,Friday,4,0,0,0,1
09:30:00,16:00:00,2020-03-23,1584936000.0,1584970200.0,1584993600.0,23,3,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-03-24,1585022400.0,1585056600.0,1585080000.0,24,3,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-03-25,1585108800.0,1585143000.0,1585166400.0,25,3,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-03-26,1585195200.0,1585229400.0,1585252800.0,26,3,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-03-27,1585281600.0,1585315800.0,1585339200.0,27,3,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-03-30,1585540800.0,1585575000.0,1585598400.0,30,3,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-03-31,1585627200.0,1585661400.0,1585684800.0,31,3,2020,Tuesday,1,0,0,1,0
09:30:00,16:00:00,2020-04-01,1585713600.0,1585747800.0,1585771200.0,1,4,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-04-02,1585800000.0,1585834200.0,1585857600.0,2,4,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-04-03,1585886400.0,1585920600.0,1585944000.0,3,4,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-04-06,1586145600.0,1586179800.0,1586203200.0,6,4,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-04-07,1586232000.0,1586266200.0,1586289600.0,7,4,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-04-08,1586318400.0,1586352600.0,1586376000.0,8,4,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-04-09,1586404800.0,1586439000.0,1586462400.0,9,4,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-04-13,1586750400.0,1586784600.0,1586808000.0,13,4,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-04-14,1586836800.0,1586871000.0,1586894400.0,14,4,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-04-15,1586923200.0,1586957400.0,1586980800.0,15,4,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-04-16,1587009600.0,1587043800.0,1587067200.0,16,4,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-04-17,1587096000.0,1587130200.0,1587153600.0,17,4,2020,Friday,4,0,1,0,1
09:30:00,16:00:00,2020-04-20,1587355200.0,1587389400.0,1587412800.0,20,4,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-04-21,1587441600.0,1587475800.0,1587499200.0,21,4,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-04-22,1587528000.0,1587562200.0,1587585600.0,22,4,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-04-23,1587614400.0,1587648600.0,1587672000.0,23,4,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-04-24,1587700800.0,1587735000.0,1587758400.0,24,4,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-04-27,1587960000.0,1587994200.0,1588017600.0,27,4,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-04-28,1588046400.0,1588080600.0,1588104000.0,28,4,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-04-29,1588132800.0,1588167000.0,1588190400.0,29,4,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-04-30,1588219200.0,1588253400.0,1588276800.0,30,4,2020,Thursday,3,0,1,1,0
09:30:00,16:00:00,2020-05-01,1588305600.0,1588339800.0,1588363200.0,1,5,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-05-04,1588564800.0,1588599000.0,1588622400.0,4,5,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-05-05,1588651200.0,1588685400.0,1588708800.0,5,5,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-05-06,1588737600.0,1588771800.0,1588795200.0,6,5,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-05-07,1588824000.0,1588858200.0,1588881600.0,7,5,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-05-08,1588910400.0,1588944600.0,1588968000.0,8,5,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-05-11,1589169600.0,1589203800.0,1589227200.0,11,5,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-05-12,1589256000.0,1589290200.0,1589313600.0,12,5,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-05-13,1589342400.0,1589376600.0,1589400000.0,13,5,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-05-14,1589428800.0,1589463000.0,1589486400.0,14,5,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-05-15,1589515200.0,1589549400.0,1589572800.0,15,5,2020,Friday,4,0,0,0,1
09:30:00,16:00:00,2020-05-18,1589774400.0,1589808600.0,1589832000.0,18,5,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-05-19,1589860800.0,1589895000.0,1589918400.0,19,5,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-05-20,1589947200.0,1589981400.0,1590004800.0,20,5,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-05-21,1590033600.0,1590067800.0,1590091200.0,21,5,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-05-22,1590120000.0,1590154200.0,1590177600.0,22,5,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-05-26,1590465600.0,1590499800.0,1590523200.0,26,5,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-05-27,1590552000.0,1590586200.0,1590609600.0,27,5,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-05-28,1590638400.0,1590672600.0,1590696000.0,28,5,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-05-29,1590724800.0,1590759000.0,1590782400.0,29,5,2020,Friday,4,0,0,1,0
09:30:00,16:00:00,2020-06-01,1590984000.0,1591018200.0,1591041600.0,1,6,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-06-02,1591070400.0,1591104600.0,1591128000.0,2,6,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-06-03,1591156800.0,1591191000.0,1591214400.0,3,6,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-06-04,1591243200.0,1591277400.0,1591300800.0,4,6,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-06-05,1591329600.0,1591363800.0,1591387200.0,5,6,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-06-08,1591588800.0,1591623000.0,1591646400.0,8,6,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-06-09,1591675200.0,1591709400.0,1591732800.0,9,6,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-06-10,1591761600.0,1591795800.0,1591819200.0,10,6,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-06-11,1591848000.0,1591882200.0,1591905600.0,11,6,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-06-12,1591934400.0,1591968600.0,1591992000.0,12,6,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-06-15,1592193600.0,1592227800.0,1592251200.0,15,6,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-06-16,1592280000.0,1592314200.0,1592337600.0,16,6,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-06-17,1592366400.0,1592400600.0,1592424000.0,17,6,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-06-18,1592452800.0,1592487000.0,1592510400.0,18,6,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-06-19,1592539200.0,1592573400.0,1592596800.0,19,6,2020,Friday,4,0,0,0,1
09:30:00,16:00:00,2020-06-22,1592798400.0,1592832600.0,1592856000.0,22,6,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-06-23,1592884800.0,1592919000.0,1592942400.0,23,6,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-06-24,1592971200.0,1593005400.0,1593028800.0,24,6,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-06-25,1593057600.0,1593091800.0,1593115200.0,25,6,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-06-26,1593144000.0,1593178200.0,1593201600.0,26,6,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-06-29,1593403200.0,1593437400.0,1593460800.0,29,6,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-06-30,1593489600.0,1593523800.0,1593547200.0,30,6,2020,Tuesday,1,0,0,1,0
09:30:00,16:00:00,2020-07-01,1593576000.0,1593610200.0,1593633600.0,1,7,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-07-02,1593662400.0,1593696600.0,1593720000.0,2,7,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-07-06,1594008000.0,1594042200.0,1594065600.0,6,7,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-07-07,1594094400.0,1594128600.0,1594152000.0,7,7,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-07-08,1594180800.0,1594215000.0,1594238400.0,8,7,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-07-09,1594267200.0,1594301400.0,1594324800.0,9,7,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-07-10,1594353600.0,1594387800.0,1594411200.0,10,7,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-07-13,1594612800.0,1594647000.0,1594670400.0,13,7,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-07-14,1594699200.0,1594733400.0,1594756800.0,14,7,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-07-15,1594785600.0,1594819800.0,1594843200.0,15,7,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-07-16,1594872000.0,1594906200.0,1594929600.0,16,7,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-07-17,1594958400.0,1594992600.0,1595016000.0,17,7,2020,Friday,4,0,1,0,1
09:30:00,16:00:00,2020-07-20,1595217600.0,1595251800.0,1595275200.0,20,7,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-07-21,1595304000.0,1595338200.0,1595361600.0,21,7,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-07-22,1595390400.0,1595424600.0,1595448000.0,22,7,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-07-23,1595476800.0,1595511000.0,1595534400.0,23,7,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-07-24,1595563200.0,1595597400.0,1595620800.0,24,7,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-07-27,1595822400.0,1595856600.0,1595880000.0,27,7,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-07-28,1595908800.0,1595943000.0,1595966400.0,28,7,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-07-29,1595995200.0,1596029400.0,1596052800.0,29,7,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-07-30,1596081600.0,1596115800.0,1596139200.0,30,7,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-07-31,1596168000.0,1596202200.0,1596225600.0,31,7,2020,Friday,4,0,1,1,0
09:30:00,16:00:00,2020-08-03,1596427200.0,1596461400.0,1596484800.0,3,8,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-08-04,1596513600.0,1596547800.0,1596571200.0,4,8,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-08-05,1596600000.0,1596634200.0,1596657600.0,5,8,2020,Wednesday,2,0,1,0,0
